metric	value
expected_genome_size_bp	11747160
scaffold_count	17
total_scaffold_length_bp	12160988
avg_scaffold_length_bp	715352.24
scaffold_n50_bp	923452
scaffold_aun_bp	904515.33
scaffold_l50	6
scaffold_ng50_bp	923452
scaffold_aung_bp	936379.53
scaffold_lg50	6
largest_scaffold_bp	1531728
smallest_scaffold_bp	85850
contig_count	17
total_contig_length_bp	12160988
avg_contig_length_bp	715352.24
contig_n50_bp	923452
contig_aun_bp	904515.33
contig_l50	6
contig_ng50_bp	923452
contig_aung_bp	936379.53
contig_lg50	6
largest_contig_bp	1531728
smallest_contig_bp	85850
gap_count_scaffolds	0
total_gap_length_bp	0
avg_gap_length_bp	0
gc_content_percent	38.18
segments_count	17
paths_count	17
